f,x,y,z,
0,30.625,-5.8125,-179.9375,
50,30.375,-7.8125,179.3125,-2
0,30.5625,-6,179.875,
50,30.1875,-8.375,179.3125,-2.375
0,30.4375,-6.5625,179.875,
50,30.1875,-9.0625,179.25,-2.5
0,30.4375,-6.5,179.8125,
100,30.0625,-9.5625,178.9375,-3.0625
0,30.375,-6.5,179.6875,
100,29.9375,-9.9375,178.6875,-3.4375
0,30.25,-6.9375,179.6875,
100,29.875,-9.6875,178.8125,-2.75
0,30.3125,-6.4375,179.6875,
150,29.75,-13,178.1875,-6.5625
0,30.1875,-6.375,179.5,
150,29.5625,-13.0625,178.1875,-6.6875
0,30,-6.625,179.5,
150,29.5,-12.6875,178.125,-6.0625
