gravX,gravY,gravZ,#,DiffX,DiffY,DiffZ
0.7,-0.02,-9.78,0,,,
0.7,-0.02,-9.78,0,,,
0.71,-0.02,-9.78,1,,,
0.66,-0.02,-9.78,1,,,
0.67,-0.02,-9.78,2,,,
0.66,-0.02,-9.78,2,,,
0.66,-0.02,-9.78,3,,,
0.64,-0.02,-9.78,3,,,
0.71,-0.02,-9.78,,,,
0.65,-0.02,-9.78,,,,
0.69,-0.02,-9.78,,,,
0.67,-0.02,-9.78,,,,
0.67,-0.02,-9.78,,,,
0.68,-0.02,-9.78,,,,
0.74,-0.02,-9.77,,,,
0.67,-0.02,-9.78,,,,
0.74,-0.02,-9.77,,,,
0.69,-0.02,-9.78,,,,
0.78,-0.02,-9.77,,,,
0.76,-0.02,-9.77,,,,
0.85,-0.02,-9.76,,,,
0.73,-0.03,-9.77,,,,
0.82,-0.02,-9.77,,,,
0.68,-0.02,-9.78,,,,
0.77,-0.03,-9.77,,,,
0.64,-0.03,-9.78,,,,
0.75,-0.03,-9.77,,,,
0.64,-0.03,-9.78,,,,
0.8,-0.03,-9.77,,,,
0.65,-0.03,-9.78,,,,
0.73,-0.02,-9.77,,,,
0.59,-0.02,-9.78,,,,
0.85,-0.01,-9.76,,,,
0.65,-0.01,-9.78,,,,
0.83,-0.02,-9.77,,,,
0.64,-0.01,-9.78,,,,
0.79,-0.01,-9.77,,,,
0.58,-0.01,-9.78,,,,
0.77,-0.01,-9.77,,,,
0.55,-0.01,-9.79,,,,
0.74,-0.01,-9.77,20,,,
0.49,-0.01,-9.79,,,,
0.71,-0.01,-9.78,,,,
0.46,0,-9.79,,,,
0.7,-0.01,-9.78,,,,
0.44,0,-9.79,,,,
0.68,-0.01,-9.78,,,,
0.43,-0.01,-9.79,,,,
0.7,-0.01,-9.78,,,,
0.43,-0.01,-9.79,,,,
0.71,-0.01,-9.78,,,,
0.47,-0.01,-9.79,,,,
0.73,-0.01,-9.77,,,,
0.45,0,-9.79,,,,
0.73,-0.01,-9.77,,,,
0.36,-0.01,-9.79,,,,
0.36,-0.01,-9.79,,,,
0.36,0,-9.79,,,,
0.68,0,-9.78,,,,
0.39,0,-9.79,,,,
0.63,-0.01,-9.78,,,,
0.28,0,-9.8,,,,
0.64,0,-9.78,,,,
0.22,0,-9.8,,,,
0.59,0,-9.78,,,,
0.17,0,-9.8,,,,
0.63,-0.01,-9.78,,,,
0.17,0,-9.8,,,,
0.6,-0.02,-9.78,,,,
0.14,-0.01,-9.8,,,,
0.64,-0.01,-9.78,,,,
0.26,-0.01,-9.8,,,,
0.65,0,-9.78,,,,
0.22,0,-9.8,,,,
0.57,-0.02,-9.78,,,,
0.11,-0.02,-9.8,,,,
0.61,-0.03,-9.78,,,,
0.08,-0.02,-9.8,,,,
0.54,-0.03,-9.79,,,,
0.05,-0.03,-9.8,,,,
