EulerX,EulerY,EulerZ,
35.8125,1.3125,177.0625,0
35.8125,1.3125,177.0625,0
35.8125,1.4375,177.0625,0
35.8125,1.375,177.0625,2
35.8125,1.4375,177.0625,0
35.8125,0.875,177.0625,4
35.8125,1,177.0625,0
35.8125,0.8125,177.0625,6
35.8125,1.1875,177.0625,0
35.8125,0.75,177.0625,8
35.75,1.125,177,0
35.6875,0.375,177,10
35.75,1.1875,177,0
35.75,0.4375,177,12
35.8125,1.3125,177,0
35.6875,0.0625,177,14
35.75,1.0625,177,0
35.6875,-0.1875,176.9375,16
35.75,0.875,176.9375,0
35.625,-0.3125,177,18
35.625,0.9375,177,0
35.5625,-0.625,176.9375,20
35.6875,0.75,176.9375,0
35.5625,-0.75,176.9375,22
35.625,0.8125,176.875,0
35.5,-0.5625,176.9375,24
35.5625,1.125,176.9375,0
35.4375,-0.9375,176.9375,26
35.5625,1,176.9375,0
35.375,-1.375,176.9375,28
35.5,0.8125,176.875,0
35.3125,-1.6875,176.875,30
35.4375,0.8125,176.875,0
35.1875,-1.5625,176.875,32
35.375,0.8125,176.8125,0
35.1875,-1.6875,176.875,34
35.3125,0.8125,176.8125,0
35.125,-1.75,176.875,36
35.25,0.9375,176.8125,0
35.0625,-2,176.9375,38
35.375,0.75,176.9375,0
35.1875,-2.125,177,40
35.3125,0.9375,176.9375,0
35.125,-2.3125,176.9375,42
35.3125,0.75,176.875,0
35.0625,-3.375,176.875,44
