EulerX,EulerY (delta degrees),EulerZ,Force (in grams),,camera: pixels (height),camera: degrees
0,0,0,0,,236,0
0,-0.06,0,2,,237,0.15
0,-0.56,0,4,,238,0.3
0,-0.19,0,6,,239,0.45
0,-0.44,0,8,,240,0.6
-0.06,-0.75,0,10,,241,0.9
0,-0.75,0,12,,242,1.05
-0.12,-1.25,0,14,,243,1.2
-0.06,-1.25,-0.06,16,,244,1.35
-0.12,-1.19,0.06,18,,246,1.65
-0.06,-1.56,-0.06,20,,247,1.8
-0.12,-1.5,0,22,,248,1.95
-0.12,-1.38,0.06,24,,249,2.1
-0.12,-2.06,0,26,,250,2.4
-0.19,-2.38,0,28,,252,2.55
-0.19,-2.5,0,30,,253,2.7
-0.25,-2.38,0,32,,254,2.85
-0.19,-2.5,0.06,34,,255,3.15
-0.19,-2.56,0.06,36,,256,3.45
-0.19,-2.94,0.12,38,,258,3.6
-0.19,-2.88,0.06,40,,259,3.75
-0.19,-3.25,0,42,,261,3.9
-0.25,-4.12,0,44,,262,4.05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,1.2
