yaw	pitch	roll	force	dist x	dist y	dist z	Distance (#)	xIMU	yIMU	zIMU
-0.013401	-0.007291	-0.007725	10	4.6	3	0	1	-0.0625	-0.3125	0
-0.026983	0.001588	0.000907	20	4.6	3	0	1	-0.0625	-1.4375	0
-0.045156	-0.005676	-0.001772	30	4.6	3	0	1	-0.0625	-2.4375	0
-0.056417	-0.002277	0.003123	40	4.6	3	0	1	-0.125	-3.25	-0.0625
-0.077603	-0.004966	0.010914	50	4.6	3	0	1	-0.125	-3.75	-0.25
-0.088815	-0.008891	0.008414	60	4.6	3	0	1	-0.1875	-4	-0.25
-0.106935	-0.026342	0.003383	70	4.6	3	0	1	-0.1875	-5.625	-0.1875
-0.111257	-0.014398	0.007999	80	4.6	3	0	1	-0.1875	-6	-0.125
										
-0.008506	0.008402	-0.000517	10	4.6	0	0	2	0	-0.4375	0
-0.022775	-0.002908	-0.002159	20	4.6	0	0	2	0	-1.0625	0
-0.03638	0.019261	0.00409	30	4.6	0	0	2	-0.0625	-1.875	0
-0.05602	-0.025546	0.00014	40	4.6	0	0	2	-0.0625	-2.6875	0.0625
-0.064666	0.000588	0.001221	50	4.6	0	0	2	-0.0625	-3.75	0.0625
-0.089089	-0.002832	-0.000193	60	4.6	0	0	2	-0.125	-4.5625	0.125
-0.108319	-0.016553	-0.007414	70	4.6	0	0	2	-0.1875	-5.8125	0.125
-0.112936	-0.02253	0.001558	80	4.6	0	0	2	-0.25	-6.125	0.3125
										
-0.014931	-0.010719	-0.005421	10	4.6	-3	0	3	-0.0625	-0.625	0
-0.025074	0.020371	-0.011876	20	4.6	-3	0	3	-0.0625	-1.5	0.0625
-0.043105	0.000849	-0.010537	30	4.6	-3	0	3	-0.125	-2.125	0.1875
-0.061195	-0.003774	-0.012197	40	4.6	-3	0	3	-0.0625	-2.875	0.375
-0.074272	-0.001706	-0.006512	50	4.6	-3	0	3	-0.125	-4.125	0.375
-0.095716	-0.011956	-0.024258	60	4.6	-3	0	3	-0.125	-4.4375	0.625
-0.107499	-0.00425	-0.009454	70	4.6	-3	0	3	-0.1875	-5.75	0.5625
-0.106008	0.001779	-0.015441	80	4.6	-3	0	3	-0.125	-6	0.4375
										
-0.009729	0.004141	0.003289	10	4.1	3	0	4	0	-0.625	0
-0.023484	-0.003495	0.002803	20	4.1	3	0	4	-0.0625	-1.3125	-0.0625
-0.034414	-0.007306	-0.022718	30	4.1	3	0	4	-0.0625	-1.9375	0
-0.046538	0.001537	-0.005712	40	4.1	3	0	4	-0.0625	-2.1875	-0.1875
-0.062491	0.002461	-0.004973	50	4.1	3	0	4	-0.125	-3.1875	-0.0625
-0.074352	-0.007376	-0.003522	60	4.1	3	0	4	-0.125	-3.8125	-0.25
-0.092313	-0.01082	0.004304	70	4.1	3	0	4	-0.625	-4.375	-0.3125
										
-0.008911	-0.001371	0.003891	10	3.6	3	0	7	-0.0625	-0.5625	-0.0625
-0.020382	-0.001177	0.00683	20	3.6	3	0	7	-0.0625	-1.125	0
-0.030221	-0.00415	0.004002	30	3.6	3	0	7	-0.0625	-1.5625	-0.0625
-0.043174	-0.019219	0.001347	40	3.6	3	0	7	-0.125	-2.25	-0.1875
-0.063214	-0.013057	-0.018939	60	3.6	3	0	7	-0.125	-3.5	-0.1875
-0.076096	-0.00564	-0.002835	70	3.6	3	0	7	-0.1875	-3.875	-0.3125
-0.090392	-0.012916	-0.004441	80	3.6	3	0	7	-0.1875	-4.4375	-0.375
-0.095066	-0.00943	0.003873	90	3.6	3	0	7	-0.25	-5.125	-0.375
-0.114496	-0.011109	0.004172	100	3.6	3	0	7	-0.25	-5.75	-0.375
-0.128409	-0.015086	0.009215	110	3.6	3	0	7	-0.1875	-6.375	-0.4375
-0.146219	-0.016954	0.013056	120	3.6	3	0	7	-0.3125	-7.6875	-0.5
